feature,importance
Number of lines in source code,0.14289372
presence of installation script,0.08586868
.md,0.06114809
.json,0.058249872
homogeneous identifiers in source code,0.032748766
Number of IP adress in metadata,0.024796678
Number of lines in metadata,0.023398586
homogeneous strings in source code,0.022862246
shannon q3 ID metadata,0.020069757
bracket ratio max,0.019092444
.py,0.018927602
.yml,0.018673444
shannon mean ID metadata,0.016936474
homogeneous identifiers in metadata,0.016757004
.txt,0.016754096
shannon max string metadata,0.016355705
.rst,0.015173671
heteregeneous identifiers in metadata,0.014987984
Number of sospicious token in source code,0.01489704
heterogeneous strings in metadata,0.014880986
Number of IP adress in source code,0.014471001
shannon mean ID source code,0.013125413
heterogeneous strings in source code,0.012842349
shannon q3 ID source code,0.012519826
shannon max string source code,0.012227901
eq ratio q3,0.0118442755
bracket ratio q3,0.011574832
shannon std ID source code,0.011477843
URLs in source code,0.011323084
shannon std ID metadata,0.011081912
Number of Words in metadata,0.010935167
bracket ratio mean,0.010710086
shannon max ID metadata,0.010433869
plus ratio std,0.010170355
Number of base64 chunks in source code,0.009615734
eq ratio std,0.009207134
homogeneous strings in metadata,0.008735775
shannon q3 string metadata,0.008709017
plus ratio max,0.00859229
Number of base64 chunks in metadata,0.008429897
shannon max ID source code,0.008348254
shannon mean string source code,0.008317179
Number of sospicious token in metadata,0.008301631
eq ratio mean,0.008228788
shannon std string source code,0.008118318
Number of Words in source code,0.00807567
eq ratio max,0.007878905
plus ratio mean,0.007785243
.js,0.006468876
.css,0.0062859347
shannon q3 string source code,0.0061728912
URLs in metadata,0.0059532328
plus ratio q3,0.0058441567
shannon std string metadata,0.005791835
shannon mean string metadata,0.005547435
bracket ratio std,0.0054975557
heteregeneous identifiers in source code,0.0045132763
.png,0.004304822
.toml,0.0032300171
.cfg,0.0018354215
.jpg,0.0
.java,0.0
.jar,0.0
.ini,0.0
.erb,0.0
.gemspec,0.0
.gif,0.0
.deb,0.0
.cpp,0.0
.conf,0.0
.csv,0.0
.crt,0.0
.c,0.0
.cert,0.0
.bat,0.0
.bz2,0.0
.bmp,0.0
.aac,0.0
.woff2,0.0
.woff,0.0
.tar,0.0
.swf,0.0
.sql,0.0
.properties,0.0
.jpeg,0.0
.exe,0.0
.eot,0.0
.yaml,0.0
.ttf,0.0
.xml,0.0
.sh,0.0
.svg,0.0
.key,0.0
.markdown,0.0
.rb,0.0
.rpm,0.0
.ps,0.0
.m4v,0.0
.pdf,0.0
.pem,0.0
.gz,0.0
.h,0.0
.ico,0.0
.html,0.0
.flac,0.0
.dcm,0.0
.dll,0.0
.doc,0.0
.xcf,0.0
.whl,0.0
.webp,0.0
.wav,0.0
.tp,0.0
.tif,0.0
.sqlite,0.0
.so,0.0
.rtf,0.0
.r,0.0
.pyx,0.0
.pyc,0.0
.pxi,0.0
.pxd,0.0
.psd,0.0
.pkl,0.0
.pickle,0.0
.otf,0.0
.ogg,0.0
.mpg,0.0
.mp4,0.0
.mp3,0.0
.mkv,0.0
.mid,0.0
.m4a,0.0
.ipynb,0.0
.flv,0.0
.wasm,0.0
.webm,0.0
.mov,0.0
.zip,0.0
.xz,0.0
